Nr.	Art.-Nr.	Anz.	Benennung	Spezifikation	Spezifikation intern
2	1000213	1	Verdrehsicherung		
3	1200007	1	Rundrohr		
4	1200013	1	Distanzrohr		
5	1800028	1	Abscherklinge 70-50		
6	1800042	2	Bolzen		
7	1800043	1	Bolzen		
8	1800064	1	Nietkopfmacher	flach	d18
9	1800067	1	Nietkopfmacher rund	R=6mm	d18
10	1800068	1	Ausdrueckbolzen	5mm	d18
11	1800108	1	Handhebel		
12	2000040	1	Presshebel		
13	2000057	1	Bolzen		
14	3010055	1	Rohrklappstecker		
15	3010111	1	Tauchkappe		
16	3300203	2	Sechskantschraube		M8x30 8.8 vz
17	3300204	1	Sechskantschraube		M8x50 8.8 vz.
18	3302102	3	Zylinderschraube		M6x20
19	3305101	2	Schraube HALBRND mit ISKT		M6x8 -10.9- vz
20	3305102	1	Gewindestift		M6x16
21	3305201	1	Schraube HALBRND mit ISKT		M8x16
22	3308202	3	Scheibe		16x8,4x1,6 - 200HV
23	3309101	3	Sechskantmutter		M6 -8- vz
24	3309202	1	Skt.Mutter m. Klemmt.		M8-8 mit Klemmteil
25	3351003	4	Sicherungsring		DIN471 25x1,2
26	3356001	1	Gleitlager		
27	4000025	1	AAP 300 Grundmaschine		
28	5900016	1	Verschlei�teile AAP		
